1000	453074
1100	506409
1200	560803
1300	615498
1400	670622
1500	726168
1600	781062
1700	837137
1800	893459
1900	949907
2000	1006246

2000	1007887
2100	1064844
2200	1124300
2300	1183257
2400	1242220
2500	1302649
2600	1362354
2700	1422140
2800	1482491
2900	1543343
3000	1603300

1000	454404
1100	507105
1200	561757
1300	616397
1400	671715
1500	726961
1600	782966
1700	838847
1800	894954
1900	950948
2000	1008566
2100	1065908
2200	1124217
2300	1183823
2400	1242823
2500	1302438
2600	1362743
2700	1422882
2800	1483023
2900	1543337
3000	1603776
3100	1664616
3200	1725315
3300	1786359
3400	1847915
3500	1908747
3600	1969790
3700	2031312
3800	2092964
3900	2154296
4000	2215297
4100	2277520
4200	2340576
4300	2405371
4400	2468346
4500	2532876
4600	2597131
4700	2660993
4800	2725980
4900	2790564
5000	2855066
5100	2919626
5200	2985374
5300	3049984
5400	3114856
5500	3179992
5600	3246278
5700	3310965
5800	3376769
5900	3442719
6000	3507391

10	1348
20	3520
40	8949
80	21377
160	50182
320	114967
640	260553
1280	581342
2560	1282221
5120	2807786

10	1369
50	12199
250	88712
1250	588854
6250	3670231

10	1386
150	47982
2250	1154295

Good Data
0	0
1	100
2	300
3	500
4	900
5	1100
6	1500
7	1700
8	2300
9	2700
10	3100
11	3500
12	4100
13	4500
14	4900
15	5300
16	5900
17	6500
18	7100
19	7500
20	8100
21	8500
22	9300
23	9700
24	10300
25	10900
26	11500
27	11900
28	12500
29	12900
30	13700
31	14100
32	14700
33	15500
34	16300
35	16900
36	17300
37	18100
38	18900
39	19500
40	20300
41	20700
42	21500
43	22300
44	22900
45	23300
46	24300
47	24900
48	25500
49	26300
50	27100
51	27700
52	28100
53	28900
54	29700
55	30300
56	31100
57	31500
58	32300
59	33100
60	33700
61	34100
62	35100
63	35700
64	36300
65	37300
66	38100
67	38900
68	39300
69	40100
70	41100
71	41900
72	42300
73	43300
74	44300
75	45100
76	45300
77	46300
78	47300
79	48100
80	48700
81	49500
82	50300
83	51100
84	51700
85	52500
86	53500
87	54300
88	54300
89	55300
90	56700
91	57300
92	57700
93	58700
94	59700
95	60500
96	60900
97	61700
98	62900
99	63700

Bad Data
0	0
1	100
2	200
3	400
4	500
5	900
6	1000
7	1200
8	1700
9	2100
10	2200
11	2400
12	2900
13	3500
14	3600
15	4000
16	4300
17	4700
18	5200
19	5800
20	6300
21	6500
22	7000
23	7400
24	8100
25	8100
26	8800
27	9400
28	9700
29	10100
30	10800
31	11200
32	11300
33	11900
34	12600
35	13200
36	13700
37	13900
38	14400
39	15000
40	15500
41	16300
42	17200
43	18000
44	18100
45	18500
46	18600
47	19000
48	19500
49	20100
50	20800
51	21800
52	22100
53	23300
54	23400
55	24000
56	24300
57	24900
58	25600
59	26400
60	26500
61	27700
62	27600
63	28800
64	28900
65	29900
66	30600
67	30800
68	31300
69	31500
70	32600
71	32800
72	33300
73	34100
74	35000
75	35400
76	36300
77	37100
78	37800
79	37600
80	38700
81	39100
82	40200
83	40400
84	41100
85	41500
86	42400
87	42800
88	44300
89	44900
90	45200
91	45800
92	46700
93	46700
94	47200
95	47400
96	48900
97	48900
98	50000
99	50000

